2026-03-15 16:15:02.656 INFO  [traceId=] [restartedMain] p6spy : 1 ms | statement | connection 1 | create table if not exists app_user ( id bigint primary key, name varchar(100) not null )
2026-03-15 16:15:02.677 INFO  [traceId=] [restartedMain] p6spy : 6 ms | statement | connection 2 | merge into app_user (id, name) key(id) values (1, 'kim')
2026-03-15 16:15:02.679 INFO  [traceId=] [restartedMain] p6spy : 1 ms | statement | connection 2 | merge into app_user (id, name) key(id) values (2, 'lee')
2026-03-15 16:15:02.681 INFO  [traceId=] [restartedMain] p6spy : 1 ms | statement | connection 2 | merge into app_user (id, name) key(id) values (3, 'park')
2026-03-15 16:15:04.332 INFO  [traceId=] [restartedMain] p6spy : 7 ms | statement | connection 4 | select * from INFORMATION_SCHEMA.SEQUENCES
2026-03-15 16:15:04.355 INFO  [traceId=] [restartedMain] p6spy : 2 ms | statement | connection 4 | alter table if exists refresh_token drop constraint if exists UKkdj16cltjxdksuyiosdhliveg
2026-03-15 16:15:04.360 INFO  [traceId=] [restartedMain] p6spy : 4 ms | statement | connection 4 | alter table if exists refresh_token add constraint UKkdj16cltjxdksuyiosdhliveg unique (token_hash)
2026-03-15 16:15:04.362 INFO  [traceId=] [restartedMain] p6spy : 0 ms | statement | connection 4 | alter table if exists role drop constraint if exists UKiubw515ff0ugtm28p8g3myt0h
2026-03-15 16:15:04.365 INFO  [traceId=] [restartedMain] p6spy : 1 ms | statement | connection 4 | alter table if exists role add constraint UKiubw515ff0ugtm28p8g3myt0h unique (role_name)
2026-03-15 16:15:04.367 INFO  [traceId=] [restartedMain] p6spy : 1 ms | statement | connection 4 | alter table if exists user_role drop constraint if exists UK872xec3woupu3gw59b04pj3sa
2026-03-15 16:15:04.369 INFO  [traceId=] [restartedMain] p6spy : 1 ms | statement | connection 4 | alter table if exists user_role add constraint UK872xec3woupu3gw59b04pj3sa unique (user_id, role_id)
2026-03-15 16:15:04.372 INFO  [traceId=] [restartedMain] p6spy : 1 ms | statement | connection 4 | alter table if exists users drop constraint if exists UK8mkeyj0y8gx4ngt7i50q4rxgg
2026-03-15 16:15:04.373 INFO  [traceId=] [restartedMain] p6spy : 0 ms | statement | connection 4 | alter table if exists users add constraint UK8mkeyj0y8gx4ngt7i50q4rxgg unique (provider, provider_subject)
2026-03-15 16:15:04.374 INFO  [traceId=] [restartedMain] p6spy : 0 ms | statement | connection 4 | alter table if exists users drop constraint if exists UK6dotkott2kjsp8vw4d0m25fb7
2026-03-15 16:15:04.377 INFO  [traceId=] [restartedMain] p6spy : 2 ms | statement | connection 4 | alter table if exists users add constraint UK6dotkott2kjsp8vw4d0m25fb7 unique (email)
2026-03-15 16:15:04.384 INFO  [traceId=] [restartedMain] p6spy : 0 ms | statement | connection 4 | select * from "testdb"."PUBLIC"."role" where 1=0
2026-03-15 16:15:04.387 INFO  [traceId=] [restartedMain] p6spy : 0 ms | statement | connection 4 | select * from "testdb"."PUBLIC"."users" where 1=0
2026-03-15 16:15:53.888 INFO  [traceId=] [restartedMain] p6spy : 3 ms | statement | connection 1 | create table if not exists app_user ( id bigint primary key, name varchar(100) not null )
2026-03-15 16:15:53.892 INFO  [traceId=] [restartedMain] p6spy : 1 ms | statement | connection 2 | merge into app_user (id, name) key(id) values (1, 'kim')
2026-03-15 16:15:53.894 INFO  [traceId=] [restartedMain] p6spy : 1 ms | statement | connection 2 | merge into app_user (id, name) key(id) values (2, 'lee')
2026-03-15 16:15:53.896 INFO  [traceId=] [restartedMain] p6spy : 1 ms | statement | connection 2 | merge into app_user (id, name) key(id) values (3, 'park')
2026-03-15 16:15:55.332 INFO  [traceId=] [restartedMain] p6spy : 7 ms | statement | connection 4 | select * from INFORMATION_SCHEMA.SEQUENCES
2026-03-15 16:15:55.353 INFO  [traceId=] [restartedMain] p6spy : 1 ms | statement | connection 4 | alter table if exists refresh_token drop constraint if exists UKkdj16cltjxdksuyiosdhliveg
2026-03-15 16:15:55.356 INFO  [traceId=] [restartedMain] p6spy : 2 ms | statement | connection 4 | alter table if exists refresh_token add constraint UKkdj16cltjxdksuyiosdhliveg unique (token_hash)
2026-03-15 16:15:55.358 INFO  [traceId=] [restartedMain] p6spy : 1 ms | statement | connection 4 | alter table if exists role drop constraint if exists UKiubw515ff0ugtm28p8g3myt0h
2026-03-15 16:15:55.360 INFO  [traceId=] [restartedMain] p6spy : 1 ms | statement | connection 4 | alter table if exists role add constraint UKiubw515ff0ugtm28p8g3myt0h unique (role_name)
2026-03-15 16:15:55.364 INFO  [traceId=] [restartedMain] p6spy : 1 ms | statement | connection 4 | alter table if exists user_role drop constraint if exists UK872xec3woupu3gw59b04pj3sa
2026-03-15 16:15:55.365 INFO  [traceId=] [restartedMain] p6spy : 1 ms | statement | connection 4 | alter table if exists user_role add constraint UK872xec3woupu3gw59b04pj3sa unique (user_id, role_id)
2026-03-15 16:15:55.368 INFO  [traceId=] [restartedMain] p6spy : 0 ms | statement | connection 4 | alter table if exists users drop constraint if exists UK8mkeyj0y8gx4ngt7i50q4rxgg
2026-03-15 16:15:55.369 INFO  [traceId=] [restartedMain] p6spy : 1 ms | statement | connection 4 | alter table if exists users add constraint UK8mkeyj0y8gx4ngt7i50q4rxgg unique (provider, provider_subject)
2026-03-15 16:15:55.371 INFO  [traceId=] [restartedMain] p6spy : 1 ms | statement | connection 4 | alter table if exists users drop constraint if exists UK6dotkott2kjsp8vw4d0m25fb7
2026-03-15 16:15:55.373 INFO  [traceId=] [restartedMain] p6spy : 1 ms | statement | connection 4 | alter table if exists users add constraint UK6dotkott2kjsp8vw4d0m25fb7 unique (email)
