2026-03-18 19:24:43.906 INFO  [traceId= userId=] [restartedMain] p6spy : 2 ms | statement | connection 1 | create table if not exists app_user ( id bigint primary key, name varchar(100) not null )
2026-03-18 19:24:44.061 INFO  [traceId= userId=] [restartedMain] p6spy : 4 ms | statement | connection 2 | merge into app_user (id, name) key(id) values (1, 'kim')
2026-03-18 19:24:44.063 INFO  [traceId= userId=] [restartedMain] p6spy : 1 ms | statement | connection 2 | merge into app_user (id, name) key(id) values (2, 'lee')
2026-03-18 19:24:44.065 INFO  [traceId= userId=] [restartedMain] p6spy : 1 ms | statement | connection 2 | merge into app_user (id, name) key(id) values (3, 'park')
2026-03-18 19:24:45.734 INFO  [traceId= userId=] [restartedMain] p6spy : 8 ms | statement | connection 4 | select * from INFORMATION_SCHEMA.SEQUENCES
2026-03-18 19:24:45.759 INFO  [traceId= userId=] [restartedMain] p6spy : 4 ms | statement | connection 4 | create table files ( id bigint generated by default as identity, content_type varchar(255) not null, created_at timestamp(6) not null, deleted boolean not null, deleted_at timestamp(6), device_id varchar(255), extension varchar(255) not null, file_path varchar(255) not null, file_size bigint not null, ip_address varchar(255), original_name varchar(255) not null, stored_name varchar(255) not null, updated_at timestamp(6), user_agent varchar(255), user_id bigint not null, primary key (id) )
2026-03-18 19:24:45.762 INFO  [traceId= userId=] [restartedMain] p6spy : 1 ms | statement | connection 4 | alter table if exists files drop constraint if exists UK_tp7w9a6fgwo5a0mvcfl2mgriy
2026-03-18 19:24:45.765 INFO  [traceId= userId=] [restartedMain] p6spy : 1 ms | statement | connection 4 | alter table if exists files add constraint UK_tp7w9a6fgwo5a0mvcfl2mgriy unique (stored_name)
2026-03-18 19:24:45.775 INFO  [traceId= userId=] [restartedMain] p6spy : 2 ms | statement | connection 4 | alter table if exists refresh_token drop constraint if exists UKkdj16cltjxdksuyiosdhliveg
2026-03-18 19:24:45.781 INFO  [traceId= userId=] [restartedMain] p6spy : 5 ms | statement | connection 4 | alter table if exists refresh_token add constraint UKkdj16cltjxdksuyiosdhliveg unique (token_hash)
2026-03-18 19:24:45.784 INFO  [traceId= userId=] [restartedMain] p6spy : 1 ms | statement | connection 4 | alter table if exists role drop constraint if exists UKiubw515ff0ugtm28p8g3myt0h
2026-03-18 19:24:45.787 INFO  [traceId= userId=] [restartedMain] p6spy : 2 ms | statement | connection 4 | alter table if exists role add constraint UKiubw515ff0ugtm28p8g3myt0h unique (role_name)
2026-03-18 19:24:45.789 INFO  [traceId= userId=] [restartedMain] p6spy : 0 ms | statement | connection 4 | alter table if exists user_role drop constraint if exists UK872xec3woupu3gw59b04pj3sa
2026-03-18 19:24:45.791 INFO  [traceId= userId=] [restartedMain] p6spy : 0 ms | statement | connection 4 | alter table if exists user_role add constraint UK872xec3woupu3gw59b04pj3sa unique (user_id, role_id)
2026-03-18 19:24:45.793 INFO  [traceId= userId=] [restartedMain] p6spy : 1 ms | statement | connection 4 | alter table if exists users drop constraint if exists UK8mkeyj0y8gx4ngt7i50q4rxgg
2026-03-18 19:24:45.795 INFO  [traceId= userId=] [restartedMain] p6spy : 0 ms | statement | connection 4 | alter table if exists users add constraint UK8mkeyj0y8gx4ngt7i50q4rxgg unique (provider, provider_subject)
2026-03-18 19:24:45.796 INFO  [traceId= userId=] [restartedMain] p6spy : 0 ms | statement | connection 4 | alter table if exists users drop constraint if exists UK6dotkott2kjsp8vw4d0m25fb7
2026-03-18 19:24:45.798 INFO  [traceId= userId=] [restartedMain] p6spy : 1 ms | statement | connection 4 | alter table if exists users add constraint UK6dotkott2kjsp8vw4d0m25fb7 unique (email)
2026-03-18 19:24:45.807 INFO  [traceId= userId=] [restartedMain] p6spy : 0 ms | statement | connection 4 | select * from "testdb"."PUBLIC"."role" where 1=0
2026-03-18 19:24:45.811 INFO  [traceId= userId=] [restartedMain] p6spy : 0 ms | statement | connection 4 | select * from "testdb"."PUBLIC"."users" where 1=0
2026-03-18 19:24:46.936 INFO  [traceId= userId=] [restartedMain] p6spy : 0 ms | statement | connection 5 | select rhe1_0.id,rhe1_0.child_role,rhe1_0.parent_role from role_hierarchy rhe1_0
2026-03-18 19:24:49.754 INFO  [traceId= userId=] [restartedMain] p6spy : 1 ms | statement | connection 6 | select r1_0.id,r1_0.description,r1_0.role_name from role r1_0 where r1_0.role_name='ROLE_USER'
2026-03-18 19:24:49.761 INFO  [traceId= userId=] [restartedMain] p6spy : 0 ms | statement | connection 7 | select r1_0.id,r1_0.description,r1_0.role_name from role r1_0 where r1_0.role_name='ROLE_ADMIN'
2026-03-18 19:24:49.774 INFO  [traceId= userId=] [restartedMain] p6spy : 0 ms | statement | connection 8 | select rhe1_0.id from role_hierarchy rhe1_0 where rhe1_0.parent_role='ROLE_ADMIN' and rhe1_0.child_role='ROLE_USER' fetch first 1 rows only
2026-03-18 19:24:56.935 INFO  [traceId=9bbdc27f userId=] [http-nio-8081-exec-4] p6spy : 1 ms | statement | connection 9 | select rt1_0.id,rt1_0.created_at,rt1_0.device_id,rt1_0.expires_at,rt1_0.ip_address,rt1_0.parent_token_id,rt1_0.revoked,rt1_0.revoked_at,rt1_0.token_hash,rt1_0.user_agent,rt1_0.user_id from refresh_token rt1_0 where rt1_0.token_hash='84939414dd4553b442abb8300b0ab03de341bcc34542d15df36f90c4ad43202f'
2026-03-18 19:24:56.958 INFO  [traceId=9bbdc27f userId=] [http-nio-8081-exec-4] p6spy : 0 ms | statement | connection 9 | select rt1_0.id,rt1_0.created_at,rt1_0.device_id,rt1_0.expires_at,rt1_0.ip_address,rt1_0.parent_token_id,rt1_0.revoked,rt1_0.revoked_at,rt1_0.token_hash,rt1_0.user_agent,rt1_0.user_id from refresh_token rt1_0 where rt1_0.token_hash='84939414dd4553b442abb8300b0ab03de341bcc34542d15df36f90c4ad43202f'
2026-03-18 19:24:56.996 INFO  [traceId=9bbdc27f userId=] [http-nio-8081-exec-4] p6spy : 3 ms | statement | connection 9 | insert into refresh_token (created_at,device_id,expires_at,ip_address,parent_token_id,revoked,revoked_at,token_hash,user_agent,user_id,id) values ('2026-03-18T19:24:56.967+0900','99a2e661-c8ff-4641-b26f-3c826b911a8e','2026-04-01T19:24:56.940+0900','0:0:0:0:0:0:0:1',149,false,NULL,'d250f8058fcc6fa046390372e8e9e3827b29ed5a44576f3dba0a74177d80fcb0','Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/146.0.0.0 Safari/537.36',1,default)
2026-03-18 19:24:57.012 INFO  [traceId=9bbdc27f userId=] [http-nio-8081-exec-4] p6spy : 0 ms | statement | connection 9 | select u1_0.id,u1_0.created_at,u1_0.email,u1_0.name,u1_0.provider,u1_0.provider_subject,u1_0.status,u1_0.updated_at from users u1_0 where u1_0.id=1
2026-03-18 19:24:57.033 INFO  [traceId=9bbdc27f userId=] [http-nio-8081-exec-4] p6spy : 0 ms | statement | connection 9 | select ur1_0.user_id,ur1_0.id,ur1_0.role_id from user_role ur1_0 where ur1_0.user_id=1
2026-03-18 19:24:57.044 INFO  [traceId=9bbdc27f userId=] [http-nio-8081-exec-4] p6spy : 0 ms | statement | connection 9 | select r1_0.id,r1_0.description,r1_0.role_name from role r1_0 where r1_0.id=1
2026-03-18 19:24:57.069 INFO  [traceId=9bbdc27f userId=] [http-nio-8081-exec-4] p6spy : 1 ms | statement | connection 9 | update refresh_token set created_at='2026-03-17T19:36:37.519+0900',device_id='unknown',expires_at='2026-03-31T19:36:37.481+0900',ip_address='0:0:0:0:0:0:0:1',parent_token_id=122,revoked=true,revoked_at='2026-03-18T19:24:56.961+0900',token_hash='84939414dd4553b442abb8300b0ab03de341bcc34542d15df36f90c4ad43202f',user_agent='Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/145.0.0.0 Safari/537.36',user_id=1 where id=149
2026-03-18 19:24:57.151 INFO  [traceId=fe858e70 userId=1] [http-nio-8081-exec-5] p6spy : 0 ms | statement | connection 10 | select u1_0.id,u1_0.created_at,u1_0.email,u1_0.name,u1_0.provider,u1_0.provider_subject,u1_0.status,u1_0.updated_at from users u1_0 where u1_0.id=1
2026-03-18 19:34:27.701 INFO  [traceId= userId=] [restartedMain] p6spy : 2 ms | statement | connection 1 | create table if not exists app_user ( id bigint primary key, name varchar(100) not null )
2026-03-18 19:34:27.705 INFO  [traceId= userId=] [restartedMain] p6spy : 1 ms | statement | connection 2 | merge into app_user (id, name) key(id) values (1, 'kim')
2026-03-18 19:34:27.707 INFO  [traceId= userId=] [restartedMain] p6spy : 1 ms | statement | connection 2 | merge into app_user (id, name) key(id) values (2, 'lee')
2026-03-18 19:34:27.709 INFO  [traceId= userId=] [restartedMain] p6spy : 1 ms | statement | connection 2 | merge into app_user (id, name) key(id) values (3, 'park')
2026-03-18 19:34:29.533 INFO  [traceId= userId=] [restartedMain] p6spy : 7 ms | statement | connection 4 | select * from INFORMATION_SCHEMA.SEQUENCES
2026-03-18 19:34:29.560 INFO  [traceId= userId=] [restartedMain] p6spy : 2 ms | statement | connection 4 | alter table if exists refresh_token drop constraint if exists UKkdj16cltjxdksuyiosdhliveg
2026-03-18 19:34:29.565 INFO  [traceId= userId=] [restartedMain] p6spy : 3 ms | statement | connection 4 | alter table if exists refresh_token add constraint UKkdj16cltjxdksuyiosdhliveg unique (token_hash)
2026-03-18 19:34:29.568 INFO  [traceId= userId=] [restartedMain] p6spy : 1 ms | statement | connection 4 | alter table if exists role drop constraint if exists UKiubw515ff0ugtm28p8g3myt0h
2026-03-18 19:34:29.570 INFO  [traceId= userId=] [restartedMain] p6spy : 1 ms | statement | connection 4 | alter table if exists role add constraint UKiubw515ff0ugtm28p8g3myt0h unique (role_name)
2026-03-18 19:34:29.572 INFO  [traceId= userId=] [restartedMain] p6spy : 1 ms | statement | connection 4 | alter table if exists user_role drop constraint if exists UK872xec3woupu3gw59b04pj3sa
2026-03-18 19:34:29.574 INFO  [traceId= userId=] [restartedMain] p6spy : 1 ms | statement | connection 4 | alter table if exists user_role add constraint UK872xec3woupu3gw59b04pj3sa unique (user_id, role_id)
2026-03-18 19:34:29.577 INFO  [traceId= userId=] [restartedMain] p6spy : 0 ms | statement | connection 4 | alter table if exists users drop constraint if exists UK8mkeyj0y8gx4ngt7i50q4rxgg
2026-03-18 19:34:29.578 INFO  [traceId= userId=] [restartedMain] p6spy : 0 ms | statement | connection 4 | alter table if exists users add constraint UK8mkeyj0y8gx4ngt7i50q4rxgg unique (provider, provider_subject)
