2026-03-29 12:52:41.667 INFO  [traceId= userId=] [restartedMain] p6spy : 4 ms | statement | connection 1 | create table if not exists app_user ( id bigint primary key, name varchar(100) not null )
2026-03-29 12:52:41.711 INFO  [traceId= userId=] [restartedMain] p6spy : 10 ms | statement | connection 2 | merge into app_user (id, name) key(id) values (1, 'kim')
2026-03-29 12:52:41.714 INFO  [traceId= userId=] [restartedMain] p6spy : 2 ms | statement | connection 2 | merge into app_user (id, name) key(id) values (2, 'lee')
2026-03-29 12:52:41.717 INFO  [traceId= userId=] [restartedMain] p6spy : 2 ms | statement | connection 2 | merge into app_user (id, name) key(id) values (3, 'park')
2026-03-29 12:52:44.405 INFO  [traceId= userId=] [restartedMain] p6spy : 11 ms | statement | connection 4 | select * from INFORMATION_SCHEMA.SEQUENCES
2026-03-29 12:52:44.489 INFO  [traceId= userId=] [restartedMain] p6spy : 53 ms | statement | connection 4 | alter table if exists message alter column important_message_use_yn set data type varchar(255)
2026-03-29 12:52:44.497 INFO  [traceId= userId=] [restartedMain] p6spy : 7 ms | statement | connection 4 | alter table if exists message alter column use_yn set data type varchar(255)
2026-03-29 12:52:44.508 INFO  [traceId= userId=] [restartedMain] p6spy : 2 ms | statement | connection 4 | alter table if exists refresh_token drop constraint if exists UKkdj16cltjxdksuyiosdhliveg
2026-03-29 12:52:44.514 INFO  [traceId= userId=] [restartedMain] p6spy : 5 ms | statement | connection 4 | alter table if exists refresh_token add constraint UKkdj16cltjxdksuyiosdhliveg unique (token_hash)
2026-03-29 12:52:44.518 INFO  [traceId= userId=] [restartedMain] p6spy : 1 ms | statement | connection 4 | alter table if exists role drop constraint if exists UKiubw515ff0ugtm28p8g3myt0h
2026-03-29 12:52:44.520 INFO  [traceId= userId=] [restartedMain] p6spy : 1 ms | statement | connection 4 | alter table if exists role add constraint UKiubw515ff0ugtm28p8g3myt0h unique (role_name)
2026-03-29 12:52:44.523 INFO  [traceId= userId=] [restartedMain] p6spy : 1 ms | statement | connection 4 | alter table if exists user_role drop constraint if exists UK872xec3woupu3gw59b04pj3sa
2026-03-29 12:52:44.526 INFO  [traceId= userId=] [restartedMain] p6spy : 1 ms | statement | connection 4 | alter table if exists user_role add constraint UK872xec3woupu3gw59b04pj3sa unique (user_id, role_id)
2026-03-29 12:52:44.529 INFO  [traceId= userId=] [restartedMain] p6spy : 1 ms | statement | connection 4 | alter table if exists users drop constraint if exists UK8mkeyj0y8gx4ngt7i50q4rxgg
2026-03-29 12:52:44.531 INFO  [traceId= userId=] [restartedMain] p6spy : 1 ms | statement | connection 4 | alter table if exists users add constraint UK8mkeyj0y8gx4ngt7i50q4rxgg unique (provider, provider_subject)
2026-03-29 12:52:44.534 INFO  [traceId= userId=] [restartedMain] p6spy : 1 ms | statement | connection 4 | alter table if exists users drop constraint if exists UK6dotkott2kjsp8vw4d0m25fb7
2026-03-29 12:52:44.539 INFO  [traceId= userId=] [restartedMain] p6spy : 3 ms | statement | connection 4 | alter table if exists users add constraint UK6dotkott2kjsp8vw4d0m25fb7 unique (email)
